Top 100 Frequent Words Per Year
============================================================

Year: 1985 (Total Docs: 1835)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
93    | 板                              | 99         | 5.40           
94    | 气体                             | 98         | 5.34           
95    | 设置                             | 98         | 5.34           
96    | 中心                             | 97         | 5.29           
97    | 而成                             | 96         | 5.23           
98    | 工业                             | 96         | 5.23           
99    | 三                              | 95         | 5.18           
100   | 溶剂                             | 95         | 5.18           

Year: 1986 (Total Docs: 1365)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 685        | 50.18          
2     | 采用                             | 463        | 33.92          
3     | 时                              | 301        | 22.05          
4     | 工艺                             | 287        | 21.03          
5     | 提高                             | 260        | 19.05          
6     | 简单                             | 259        | 18.97          
7     | 高                              | 250        | 18.32          
8     | 控制                             | 235        | 17.22          
9     | 温度                             | 234        | 17.14          
10    | 生产                             | 221        | 16.19          
11    | 利用                             | 218        | 15.97          
12    | 重量                             | 207        | 15.16          
13    | 之间                             | 198        | 14.51          
14    | 原料                             | 198        | 14.51          
15    | 技术                             | 197        | 14.43          
16    | 制造                             | 193        | 14.14          
17    | 设备                             | 177        | 12.97          
18    | 过程                             | 168        | 12.31          
19    | 成                              | 161        | 11.79          
20    | 制成                             | 154        | 11.28          
21    | 水                              | 153        | 11.21          
22    | 式                              | 149        | 10.92          
23    | 混合                             | 148        | 10.84          
24    | 性能                             | 146        | 10.70          
25    | 特别                             | 141        | 10.33          
26    | 工作                             | 141        | 10.33          
27    | 低                              | 140        | 10.26          
28    | 作用                             | 140        | 10.26          
29    | 材料                             | 139        | 10.18          
30    | 条件                             | 137        | 10.04          
31    | 含有                             | 134        | 9.82           
32    | 法                              | 131        | 9.60           
33    | 表面                             | 131        | 9.60           
34    | 操作                             | 129        | 9.45           
35    | 输出                             | 124        | 9.08           
36    | 制备                             | 124        | 9.08           
37    | 电路                             | 122        | 8.94           
38    | 量                              | 118        | 8.64           
39    | 时间                             | 117        | 8.57           
40    | 成本低                            | 117        | 8.57           
41    | 固定                             | 116        | 8.50           
42    | 作                              | 115        | 8.42           
43    | 金属                             | 114        | 8.35           
44    | 安装                             | 114        | 8.35           
45    | 优点                             | 114        | 8.35           
46    | 自动                             | 114        | 8.35           
47    | 出                              | 111        | 8.13           
48    | 两个                             | 110        | 8.06           
49    | 型                              | 110        | 8.06           
50    | 装有                             | 110        | 8.06           
51    | 领域                             | 109        | 7.99           
52    | 加工                             | 108        | 7.91           
53    | 分离                             | 106        | 7.77           
54    | 均                              | 106        | 7.77           
55    | 机构                             | 106        | 7.77           
56    | 降低                             | 104        | 7.62           
57    | 信号                             | 103        | 7.55           
58    | 含                              | 103        | 7.55           
59    | 产品                             | 103        | 7.55           
60    | 剂                              | 102        | 7.47           
61    | 效果                             | 102        | 7.47           
62    | 连续                             | 101        | 7.40           
63    | 器                              | 99         | 7.25           
64    | 减少                             | 98         | 7.18           
65    | 输入                             | 97         | 7.11           
66    | 相                              | 97         | 7.11           
67    | 溶液                             | 97         | 7.11           
68    | 调节                             | 96         | 7.03           
69    | 所说                             | 96         | 7.03           
70    | 加热                             | 95         | 6.96           
71    | 方向                             | 93         | 6.81           
72    | 含量                             | 93         | 6.81           
73    | 设计                             | 92         | 6.74           
74    | 现有                             | 92         | 6.74           
75    | 而成                             | 91         | 6.67           
76    | 解决                             | 91         | 6.67           
77    | 轴                              | 91         | 6.67           
78    | 均匀                             | 90         | 6.59           
79    | 搅拌                             | 89         | 6.52           
80    | 压力                             | 88         | 6.45           
81    | 新                              | 88         | 6.45           
82    | 稳定                             | 87         | 6.37           
83    | 外                              | 87         | 6.37           
84    | 强度                             | 86         | 6.30           
85    | 成本                             | 86         | 6.30           
86    | 小时                             | 85         | 6.23           
87    | 化学                             | 85         | 6.23           
88    | 分                              | 84         | 6.15           
89    | 工业                             | 82         | 6.01           
90    | 合成                             | 82         | 6.01           
91    | 两                              | 82         | 6.01           
92    | 端                              | 81         | 5.93           
93    | 新型                             | 78         | 5.71           
94    | 比例                             | 76         | 5.57           
95    | 干燥                             | 76         | 5.57           
96    | 配制                             | 76         | 5.57           
97    | 测量                             | 76         | 5.57           
98    | 电压                             | 75         | 5.49           
99    | 旋转                             | 75         | 5.49           
100   | 槽                              | 75         | 5.49           

Year: 1987 (Total Docs: 1571)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 828        | 52.71          
2     | 采用                             | 554        | 35.26          
3     | 工艺                             | 355        | 22.60          
4     | 高                              | 339        | 21.58          
5     | 时                              | 336        | 21.39          
6     | 提高                             | 304        | 19.35          
7     | 简单                             | 292        | 18.59          
8     | 重量                             | 279        | 17.76          
9     | 生产                             | 276        | 17.57          
10    | 温度                             | 261        | 16.61          
11    | 利用                             | 246        | 15.66          
12    | 控制                             | 238        | 15.15          
13    | 成                              | 227        | 14.45          
14    | 制造                             | 225        | 14.32          
15    | 混合                             | 224        | 14.26          
16    | 原料                             | 223        | 14.19          
17    | 制成                             | 220        | 14.00          
18    | 之间                             | 210        | 13.37          
19    | 设备                             | 208        | 13.24          
20    | 技术                             | 201        | 12.79          
21    | 材料                             | 198        | 12.60          
22    | 过程                             | 191        | 12.16          
23    | 制备                             | 190        | 12.09          
24    | 条件                             | 181        | 11.52          
25    | 水                              | 181        | 11.52          
26    | 优点                             | 180        | 11.46          
27    | 表面                             | 176        | 11.20          
28    | 作用                             | 175        | 11.14          
29    | 低                              | 175        | 11.14          
30    | 操作                             | 170        | 10.82          
31    | 特别                             | 166        | 10.57          
32    | 性能                             | 164        | 10.44          
33    | 作                              | 159        | 10.12          
34    | 工作                             | 155        | 9.87           
35    | 含有                             | 152        | 9.68           
36    | 式                              | 151        | 9.61           
37    | 金属                             | 149        | 9.48           
38    | 量                              | 148        | 9.42           
39    | 小时                             | 145        | 9.23           
40    | 固定                             | 144        | 9.17           
41    | 法                              | 142        | 9.04           
42    | 安装                             | 137        | 8.72           
43    | 器                              | 133        | 8.47           
44    | 成本低                            | 132        | 8.40           
45    | 产品                             | 132        | 8.40           
46    | 剂                              | 131        | 8.34           
47    | 加工                             | 131        | 8.34           
48    | 型                              | 131        | 8.34           
49    | 含量                             | 130        | 8.27           
50    | 降低                             | 129        | 8.21           
51    | 含                              | 128        | 8.15           
52    | 输出                             | 128        | 8.15           
53    | 效果                             | 128        | 8.15           
54    | 时间                             | 127        | 8.08           
55    | 压力                             | 126        | 8.02           
56    | 出                              | 124        | 7.89           
57    | 两个                             | 122        | 7.77           
58    | 均                              | 121        | 7.70           
59    | 溶液                             | 120        | 7.64           
60    | 所说                             | 118        | 7.51           
61    | 分离                             | 118        | 7.51           
62    | 均匀                             | 115        | 7.32           
63    | 电路                             | 114        | 7.26           
64    | 领域                             | 113        | 7.19           
65    | 成本                             | 113        | 7.19           
66    | 信号                             | 112        | 7.13           
67    | 液                              | 112        | 7.13           
68    | 加热                             | 111        | 7.07           
69    | 自动                             | 109        | 6.94           
70    | 位置                             | 104        | 6.62           
71    | 装有                             | 103        | 6.56           
72    | 成型                             | 103        | 6.56           
73    | 质量                             | 102        | 6.49           
74    | 端                              | 102        | 6.49           
75    | 外                              | 101        | 6.43           
76    | 调节                             | 100        | 6.37           
77    | 干燥                             | 98         | 6.24           
78    | 比例                             | 98         | 6.24           
79    | 而成                             | 96         | 6.11           
80    | 新                              | 96         | 6.11           
81    | 分钟                             | 96         | 6.11           
82    | 现有                             | 95         | 6.05           
83    | 氧化                             | 94         | 5.98           
84    | 强度                             | 94         | 5.98           
85    | 气体                             | 94         | 5.98           
86    | 体                              | 93         | 5.92           
87    | 需                              | 93         | 5.92           
88    | 稳定                             | 93         | 5.92           
89    | 机构                             | 93         | 5.92           
90    | 制作                             | 92         | 5.86           
91    | 高温                             | 92         | 5.86           
92    | 相                              | 90         | 5.73           
93    | 冷却                             | 90         | 5.73           
94    | 板                              | 89         | 5.67           
95    | 小于                             | 89         | 5.67           
96    | 机械                             | 89         | 5.67           
97    | 搅拌                             | 89         | 5.67           
98    | 输入                             | 88         | 5.60           
99    | 分                              | 87         | 5.54           
100   | 减少                             | 87         | 5.54           

Year: 1988 (Total Docs: 1717)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 897        | 52.24          
2     | 采用                             | 570        | 33.20          
3     | 工艺                             | 415        | 24.17          
4     | 高                              | 383        | 22.31          
5     | 时                              | 382        | 22.25          
6     | 简单                             | 322        | 18.75          
7     | 温度                             | 319        | 18.58          
8     | 重量                             | 310        | 18.05          
9     | 生产                             | 303        | 17.65          
10    | 控制                             | 293        | 17.06          
11    | 原料                             | 281        | 16.37          
12    | 制成                             | 271        | 15.78          
13    | 成                              | 264        | 15.38          
14    | 制造                             | 263        | 15.32          
15    | 利用                             | 256        | 14.91          
16    | 提高                             | 256        | 14.91          
17    | 之间                             | 241        | 14.04          
18    | 技术                             | 241        | 14.04          
19    | 混合                             | 232        | 13.51          
20    | 过程                             | 223        | 12.99          
21    | 制备                             | 216        | 12.58          
22    | 水                              | 209        | 12.17          
23    | 设备                             | 207        | 12.06          
24    | 材料                             | 207        | 12.06          
25    | 表面                             | 201        | 11.71          
26    | 低                              | 200        | 11.65          
27    | 小时                             | 188        | 10.95          
28    | 优点                             | 186        | 10.83          
29    | 条件                             | 182        | 10.60          
30    | 产品                             | 182        | 10.60          
31    | 均                              | 180        | 10.48          
32    | 操作                             | 179        | 10.43          
33    | 成本低                            | 178        | 10.37          
34    | 法                              | 177        | 10.31          
35    | 性能                             | 174        | 10.13          
36    | 出                              | 173        | 10.08          
37    | 加工                             | 170        | 9.90           
38    | 量                              | 169        | 9.84           
39    | 溶液                             | 167        | 9.73           
40    | 时间                             | 165        | 9.61           
41    | 作用                             | 165        | 9.61           
42    | 特别                             | 164        | 9.55           
43    | 式                              | 163        | 9.49           
44    | 固定                             | 162        | 9.44           
45    | 输出                             | 161        | 9.38           
46    | 金属                             | 157        | 9.14           
47    | 型                              | 157        | 9.14           
48    | 作                              | 152        | 8.85           
49    | 加热                             | 151        | 8.79           
50    | 分离                             | 147        | 8.56           
51    | 含有                             | 147        | 8.56           
52    | 两个                             | 146        | 8.50           
53    | 工作                             | 145        | 8.44           
54    | 液                              | 143        | 8.33           
55    | 领域                             | 142        | 8.27           
56    | 含                              | 141        | 8.21           
57    | 剂                              | 141        | 8.21           
58    | 自动                             | 139        | 8.10           
59    | 均匀                             | 139        | 8.10           
60    | 安装                             | 138        | 8.04           
61    | 成本                             | 138        | 8.04           
62    | 电路                             | 135        | 7.86           
63    | 信号                             | 131        | 7.63           
64    | 新                              | 131        | 7.63           
65    | 外                              | 130        | 7.57           
66    | 分                              | 130        | 7.57           
67    | 搅拌                             | 129        | 7.51           
68    | 输入                             | 127        | 7.40           
69    | 器                              | 127        | 7.40           
70    | 含量                             | 126        | 7.34           
71    | 成型                             | 126        | 7.34           
72    | 压力                             | 126        | 7.34           
73    | 端                              | 124        | 7.22           
74    | 效果                             | 124        | 7.22           
75    | 调节                             | 120        | 6.99           
76    | 相                              | 119        | 6.93           
77    | 干燥                             | 118        | 6.87           
78    | 装有                             | 117        | 6.81           
79    | 降低                             | 117        | 6.81           
80    | 浓度                             | 114        | 6.64           
81    | 机                              | 110        | 6.41           
82    | 现有                             | 110        | 6.41           
83    | 稳定                             | 110        | 6.41           
84    | 机构                             | 109        | 6.35           
85    | 加                              | 109        | 6.35           
86    | 而成                             | 106        | 6.17           
87    | 需                              | 106        | 6.17           
88    | 工序                             | 106        | 6.17           
89    | 连续                             | 105        | 6.12           
90    | 工业                             | 104        | 6.06           
91    | 设置                             | 103        | 6.00           
92    | 分钟                             | 103        | 6.00           
93    | 方向                             | 103        | 6.00           
94    | 配制                             | 102        | 5.94           
95    | 轴                              | 101        | 5.88           
96    | 机械                             | 101        | 5.88           
97    | 二                              | 100        | 5.82           
98    | 体                              | 100        | 5.82           
99    | 位置                             | 99         | 5.77           
100   | 比例                             | 99         | 5.77           

Year: 1989 (Total Docs: 1535)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 839        | 54.66          
2     | 采用                             | 511        | 33.29          
3     | 时                              | 350        | 22.80          
4     | 高                              | 331        | 21.56          
5     | 工艺                             | 329        | 21.43          
6     | 简单                             | 297        | 19.35          
7     | 重量                             | 294        | 19.15          
8     | 控制                             | 274        | 17.85          
9     | 生产                             | 271        | 17.65          
10    | 提高                             | 262        | 17.07          
11    | 温度                             | 249        | 16.22          
12    | 之间                             | 234        | 15.24          
13    | 成                              | 230        | 14.98          
14    | 利用                             | 216        | 14.07          
15    | 制备                             | 214        | 13.94          
16    | 制成                             | 214        | 13.94          
17    | 制造                             | 213        | 13.88          
18    | 技术                             | 211        | 13.75          
19    | 原料                             | 208        | 13.55          
20    | 混合                             | 205        | 13.36          
21    | 设备                             | 194        | 12.64          
22    | 材料                             | 182        | 11.86          
23    | 表面                             | 176        | 11.47          
24    | 过程                             | 174        | 11.34          
25    | 出                              | 172        | 11.21          
26    | 水                              | 168        | 10.94          
27    | 优点                             | 165        | 10.75          
28    | 操作                             | 164        | 10.68          
29    | 低                              | 164        | 10.68          
30    | 小时                             | 163        | 10.62          
31    | 条件                             | 163        | 10.62          
32    | 时间                             | 160        | 10.42          
33    | 固定                             | 160        | 10.42          
34    | 工作                             | 155        | 10.10          
35    | 产品                             | 150        | 9.77           
36    | 溶液                             | 150        | 9.77           
37    | 式                              | 145        | 9.45           
38    | 剂                              | 143        | 9.32           
39    | 加热                             | 142        | 9.25           
40    | 量                              | 140        | 9.12           
41    | 均匀                             | 139        | 9.06           
42    | 含有                             | 138        | 8.99           
43    | 输出                             | 133        | 8.66           
44    | 含                              | 132        | 8.60           
45    | 性能                             | 132        | 8.60           
46    | 搅拌                             | 131        | 8.53           
47    | 含量                             | 131        | 8.53           
48    | 分离                             | 131        | 8.53           
49    | 两个                             | 130        | 8.47           
50    | 作用                             | 129        | 8.40           
51    | 型                              | 129        | 8.40           
52    | 作                              | 129        | 8.40           
53    | 特别                             | 127        | 8.27           
54    | 降低                             | 126        | 8.21           
55    | 领域                             | 126        | 8.21           
56    | 均                              | 126        | 8.21           
57    | 液                              | 125        | 8.14           
58    | 法                              | 125        | 8.14           
59    | 成本低                            | 125        | 8.14           
60    | 加工                             | 125        | 8.14           
61    | 压力                             | 122        | 7.95           
62    | 器                              | 122        | 7.95           
63    | 设有                             | 121        | 7.88           
64    | 效果                             | 118        | 7.69           
65    | 自动                             | 117        | 7.62           
66    | 调节                             | 117        | 7.62           
67    | 金属                             | 116        | 7.56           
68    | 成本                             | 114        | 7.43           
69    | 相                              | 114        | 7.43           
70    | 信号                             | 113        | 7.36           
71    | 分                              | 113        | 7.36           
72    | 电路                             | 109        | 7.10           
73    | 浓度                             | 108        | 7.04           
74    | 机构                             | 108        | 7.04           
75    | 干燥                             | 107        | 6.97           
76    | 装有                             | 106        | 6.91           
77    | 输入                             | 105        | 6.84           
78    | 外                              | 104        | 6.78           
79    | 电                              | 104        | 6.78           
80    | 比例                             | 102        | 6.64           
81    | 端                              | 102        | 6.64           
82    | 连续                             | 102        | 6.64           
83    | 体                              | 102        | 6.64           
84    | 加                              | 101        | 6.58           
85    | 安装                             | 100        | 6.51           
86    | 设置                             | 99         | 6.45           
87    | 分钟                             | 98         | 6.38           
88    | 现有                             | 97         | 6.32           
89    | 位置                             | 97         | 6.32           
90    | 过滤                             | 95         | 6.19           
91    | 功能                             | 95         | 6.19           
92    | 值                              | 95         | 6.19           
93    | 即可                             | 94         | 6.12           
94    | 催化剂                            | 94         | 6.12           
95    | 机械                             | 93         | 6.06           
96    | 物                              | 91         | 5.93           
97    | 而成                             | 91         | 5.93           
98    | 成型                             | 90         | 5.86           
99    | 配制                             | 88         | 5.73           
100   | 少                              | 87         | 5.67           

Year: 1990 (Total Docs: 1768)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 945        | 53.45          
2     | 采用                             | 565        | 31.96          
3     | 高                              | 415        | 23.47          
4     | 时                              | 382        | 21.61          
5     | 工艺                             | 358        | 20.25          
6     | 重量                             | 345        | 19.51          
7     | 简单                             | 316        | 17.87          
8     | 控制                             | 311        | 17.59          
9     | 成                              | 305        | 17.25          
10    | 温度                             | 302        | 17.08          
11    | 生产                             | 276        | 15.61          
12    | 制成                             | 274        | 15.50          
13    | 混合                             | 266        | 15.05          
14    | 提高                             | 265        | 14.99          
15    | 利用                             | 260        | 14.71          
16    | 原料                             | 259        | 14.65          
17    | 技术                             | 258        | 14.59          
18    | 之间                             | 257        | 14.54          
19    | 制造                             | 247        | 13.97          
20    | 制备                             | 234        | 13.24          
21    | 设备                             | 230        | 13.01          
22    | 低                              | 217        | 12.27          
23    | 过程                             | 216        | 12.22          
24    | 出                              | 206        | 11.65          
25    | 材料                             | 203        | 11.48          
26    | 固定                             | 202        | 11.43          
27    | 优点                             | 199        | 11.26          
28    | 水                              | 198        | 11.20          
29    | 输出                             | 192        | 10.86          
30    | 小时                             | 191        | 10.80          
31    | 量                              | 190        | 10.75          
32    | 作用                             | 190        | 10.75          
33    | 操作                             | 187        | 10.58          
34    | 两个                             | 185        | 10.46          
35    | 产品                             | 181        | 10.24          
36    | 时间                             | 181        | 10.24          
37    | 器                              | 178        | 10.07          
38    | 表面                             | 178        | 10.07          
39    | 式                              | 172        | 9.73           
40    | 性能                             | 171        | 9.67           
41    | 安装                             | 168        | 9.50           
42    | 端                              | 166        | 9.39           
43    | 加热                             | 165        | 9.33           
44    | 含有                             | 164        | 9.28           
45    | 设有                             | 162        | 9.16           
46    | 加工                             | 162        | 9.16           
47    | 均匀                             | 161        | 9.11           
48    | 效果                             | 160        | 9.05           
49    | 信号                             | 158        | 8.94           
50    | 含量                             | 157        | 8.88           
51    | 均                              | 156        | 8.82           
52    | 电路                             | 152        | 8.60           
53    | 特别                             | 152        | 8.60           
54    | 条件                             | 152        | 8.60           
55    | 工作                             | 149        | 8.43           
56    | 作                              | 148        | 8.37           
57    | 金属                             | 147        | 8.31           
58    | 分离                             | 147        | 8.31           
59    | 法                              | 146        | 8.26           
60    | 领域                             | 146        | 8.26           
61    | 含                              | 146        | 8.26           
62    | 输入                             | 146        | 8.26           
63    | 自动                             | 145        | 8.20           
64    | 型                              | 144        | 8.14           
65    | 降低                             | 143        | 8.09           
66    | 压力                             | 143        | 8.09           
67    | 设置                             | 140        | 7.92           
68    | 外                              | 140        | 7.92           
69    | 现有                             | 139        | 7.86           
70    | 剂                              | 139        | 7.86           
71    | 成本低                            | 137        | 7.75           
72    | 电                              | 135        | 7.64           
73    | 相                              | 134        | 7.58           
74    | 溶液                             | 134        | 7.58           
75    | 搅拌                             | 134        | 7.58           
76    | 而成                             | 132        | 7.47           
77    | 液                              | 131        | 7.41           
78    | 装有                             | 126        | 7.13           
79    | 干燥                             | 125        | 7.07           
80    | 轴                              | 121        | 6.84           
81    | 分钟                             | 120        | 6.79           
82    | 分                              | 119        | 6.73           
83    | 一端                             | 117        | 6.62           
84    | 电源                             | 116        | 6.56           
85    | 功能                             | 116        | 6.56           
86    | 冷却                             | 112        | 6.33           
87    | 机构                             | 111        | 6.28           
88    | 成本                             | 110        | 6.22           
89    | 稳定                             | 110        | 6.22           
90    | 过滤                             | 109        | 6.17           
91    | 需                              | 108        | 6.11           
92    | 成型                             | 108        | 6.11           
93    | 置于                             | 107        | 6.05           
94    | 状态                             | 107        | 6.05           
95    | 孔                              | 107        | 6.05           
96    | 体                              | 106        | 6.00           
